,textID,text,sentiment,tuned_sentiment
0,9965c5a810,"Not at prom. Ha! Chinese, iced chai, and some old school pokemon. Good night",positive,positive
1,d24bdd2844," I agree, however I can`t sell  until I`m a full brick & motar store...  soon though hopefully",neutral,positive
2,32058d2bb5,HA! I`d give Kristen plenty of free hugs! *sigh* if only I could,neutral,positive
3,cad8db609a,Why am I having such a hard time falling asleep,negative,negative
4,a72c5d15b7,Oh fml its probs gunna be at shepards bush  i hate it there,negative,negative
5,08ad89c6b0,Hi .. I have the net YAYY.. Im here for a short time though,positive,positive
6,455ef3e9b6, LOL thx,positive,positive
7,d2dbf84fe0,I know exactly where i should be,neutral,neutral
8,b70c6bf768,my apple-mouse doesn`t work on my shiny red coffee table...,negative,negative
9,db783cf66a,"no school today, teacher cancelled the lesson  chillin`",positive,negative
10,61e8b484df,Straighening my hair and its not going as straight as i want it to be what a  bummerrr for me,negative,negative
11,af3fbd5681,Aww I got to see my 1st grade teacher`s last day before she retired,positive,neutral
12,0eb06a4076,"Ooh, new Bonkers is out tomorrow, nearly forgot about that",neutral,neutral
13,5d8102cab8,He put a **** mohawk in my son head.....he just killed my vibe as always,negative,negative
14,7053623c26, i mean give. lol with a finger! then crash her car! lol jk. thats bad. just ignore her,neutral,negative
15,9fdac069e1,no phone  i knew i should`ve charged it last night. SIGH,neutral,negative
16,70187852a7,  supporting superfly all the way,positive,positive
17,d98aa88591, No Trump casino in Vegas.,neutral,neutral
18,3a013a37a6,A little twitter mention on SNL,neutral,neutral
19,bc28048a07,Heyy.thnxx.or.inviting.me.to.ur.party.rob.ill.be.down.there.on.june.24th.ill.miss.u.when.u.go.to.italy....   <333333333 txt.me.hon!!!,positive,neutral
20,2c60e1c7a2, hmmm really??? that`s weird idk about that one  sowwy,negative,negative
21,1c2a41d71e, At work at the mo and it`s so sunny here today   Off to see a band tonight!!,neutral,positive
22,4805e663c0,"Have been writing since 6pm & I only have 300 words. Can`t help but edit as I write. Stop it, self! Oh, I`ve also been researching too.",neutral,negative
23,e38fab54b2, Thanks. Busy as **** is good in my book.,positive,positive
24,06b8d9e26c, welcome,positive,positive
25,e344ef4cf6, That`s actually not too far from the truth,neutral,neutral
26,35674461fe, lol that was a great movie,positive,positive
